ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Industry Sector,Industry Sector,ID Industry Sub-Sector,Industry Sub-Sector,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","393031","Ushers, lobby attendants, & ticket takers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1268,874.243765151817,8843.186119873817,3814.2822546687225,15,"ushers-lobby-attendants-ticket-takers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537081","Refuse & recyclable material collectors",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",693,646.3092467407658,18058.56277056277,9290.216150397124,7,"refuse-recyclable-material-collectors","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537065","Stockers and order fillers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",11968,2685.765962597463,21939.036346925135,5396.79783236811,90,"stockers-and-order-fillers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537064","Packers & packagers, hand",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",11852,2672.7193952882753,18543.6245359433,2731.5814255133264,80,"packers-packagers-hand","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","111021","General & operations managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",131544,8900.597026041598,56918.65665480751,2782.391461669769,1144,"general-operations-managers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537063","Machine feeders & offbearers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1136,827.4890858518576,9285.862676056338,6601.506558267273,6,"machine-feeders-offbearers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537062","Laborers & freight, stock, & material movers, hand",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",23368,3752.766885543603,21674.713497090037,2675.098983386942,193,"laborers-freight-stock-material-movers-hand","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537061","Cleaners of vehicles & equipment",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1820,1047.3885193725212,26594.686813186814,5310.157171973929,12,"cleaners-of-vehicles-equipment","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537051","Industrial truck & tractor operators",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",3732,1499.8235055268988,39577.67175777063,5771.483570272155,30,"industrial-truck-tractor-operators","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","1110XX","Chief executives & legislators",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",16502,3153.690579523554,149314.98545630832,27376.078513970813,159,"chief-executives-legislators","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","531000-536000","Transportation Occupations","536021","Parking lot attendants",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",2166,1142.617414515486,9821.802862419207,4989.988348303406,10,"parking-lot-attendants","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","531000-536000","Transportation Occupations","533030","Driver/sales workers & truck drivers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",247631,12207.23488408823,19222.03793951484,922.1124904702028,2045,"driversales-workers-truck-drivers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","531000-536000","Transportation Occupations","531000","Supervisors of transportation & material moving workers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1154,834.0190814691606,45477.69670710572,17085.947523987597,10,"supervisors-of-transportation-material-moving-workers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","5191XX","Miscellaneous production workers, including semiconductor processors",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",5611,1839.0212318974552,25128.038495811797,5995.489449310138,37,"miscellaneous-production-workers-including-semiconductor-processors","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112021","Marketing managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",8721,2292.689462626391,72000.83109735123,26238.47405897068,91,"marketing-managers","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112022","Sales managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",16783,3180.4251459258403,76511.65429303462,5423.302915012442,135,"sales-managers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","519195","Molders, shapers, & casters, except metal & plastic",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1039,791.3726253312312,1835.665062560154,811.4939324934609,7,"molders-shapers-casters-except-metal-plastic","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","519061","Inspectors, testers, sorters, samplers, & weighers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1195,848.70541990974,35594.804184100416,17459.012834747893,15,"inspectors-testers-sorters-samplers-weighers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","519020","Crushing, grinding, polishing, mixing, & blending workers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",440,514.991970531949,10901.845454545455,9228.809266419747,5,"crushing-grinding-polishing-mixing-blending-workers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","518021","Stationary engineers & boiler operators",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1433,929.3852432989473,32536.463363572922,20108.712124910806,13,"stationary-engineers-boiler-operators","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","514120","Welding, soldering, & brazing workers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",410,497.1255580417242,40842.634146341465,25290.92486138147,6,"welding-soldering-brazing-workers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","513099","Food processing workers, all other",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1395,916.9799425899291,8040.387813620072,5868.468564109806,11,"food-processing-workers-all-other","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113013","Facilities managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1882,1065.0790315292843,74134.69341126461,17802.213704763504,17,"facilities-managers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","513093","Food cooking machine operators & tenders",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",4318,1613.2802085403198,18133.193608151923,4400.153854267148,37,"food-cooking-machine-operators-tenders","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","513092","Food batchmakers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",7066,2063.722561660268,9632.436456269459,2927.4811685302047,63,"food-batchmakers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","513091","Food & tobacco roasting, baking, & drying machine operators & tenders",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",998,775.6013918377146,29458.89278557114,12415.961210366613,11,"food-tobacco-roasting-baking-drying-machine-operators-tenders","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","513020","Butchers & other meat, poultry, & fish processing workers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",6420,1967.1294845811838,20404.571183800625,4613.887739162578,52,"butchers-other-meat-poultry-fish-processing-workers","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113021","Computer & information systems managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",2612,1254.7510020345585,93528.78943338439,39636.51912993622,30,"computer-information-systems-managers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","513011","Bakers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",50719,5528.234052554523,20595.161458230643,2680.348698080446,429,"bakers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","5120XX","Other assemblers and fabricators",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",2175,1144.988778136369,20097.143448275863,7265.33769498981,11,"other-assemblers-and-fabricators","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","511011","Firstline supervisors of production & operating workers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",2030,1106.1647866928886,32113.627586206898,7200.677716076911,15,"firstline-supervisors-of-production-operating-workers","Restaurants & Food Services","722Z","restaurants-food-services"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","4990XX","Miscellaneous installation, maintenance, & repair workers, including wind turbine service technicians",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",821,703.4692927988463,47030.40682095006,30893.166050090294,7,"miscellaneous-installation-maintenance-repair-workers-including-wind-turbine-service-technicians","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113031","Financial managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",4381,1625.0061990887784,81120.99680438256,17049.86630320171,43,"financial-managers","Restaurants & Food Services","722Z","restaurants-food-services"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","499091","Coin, vending, & amusement machine servicers & repairers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",679,639.7475915554973,22691.733431516936,10851.782205888001,9,"coin-vending-amusement-machine-servicers-repairers","Restaurants & Food Services","722Z","restaurants-food-services"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","499071","Maintenance & repair workers, general",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",6940,2045.2406400750117,36381.63040345821,7070.353817783531,57,"maintenance-repair-workers-general","Restaurants & Food Services","722Z","restaurants-food-services"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","49904X","Industrial & refractory machinery mechanics",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",3428,1437.441523817963,31444.57497082847,7171.581846115302,27,"industrial-refractory-machinery-mechanics","Restaurants & Food Services","722Z","restaurants-food-services"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","499021","Heating, air conditioning, & refrigeration mechanics & installers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",319,438.50003952241946,60610.200626959246,24895.43434719506,6,"heating-air-conditioning-refrigeration-mechanics-installers","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113051","Industrial production managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1667,1002.3978750737101,77053.10857828434,21700.423655745504,14,"industrial-production-managers","Restaurants & Food Services","722Z","restaurants-food-services"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","491011","Firstline supervisors of mechanics, installers, & repairers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",982,769.3590667854236,43025.05397148676,21571.2265508827,9,"firstline-supervisors-of-mechanics-installers-repairers","Restaurants & Food Services","722Z","restaurants-food-services"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472111","Electricians",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",700,649.5652181195774,40501.59285714286,14696.703575612417,6,"electricians","Restaurants & Food Services","722Z","restaurants-food-services"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472061","Construction laborers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",731,663.7925676531983,69580.77701778385,39741.04823712408,7,"construction-laborers","Restaurants & Food Services","722Z","restaurants-food-services"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472031","Carpenters",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",355,462.5816698821214,51334.05633802817,22926.15436524593,5,"carpenters","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113061","Purchasing managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1494,948.9599579577593,89124.0562248996,16198.559293941977,14,"purchasing-managers","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439XXX","Miscellaneous office & administrative support workers, including desktop publishers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1616,986.9453148407453,32017.189356435643,15833.599953942052,17,"miscellaneous-office-administrative-support-workers-including-desktop-publishers","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439061","Office clerks, general",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",18472,3336.6057030197285,22165.41229969684,5531.847733835861,159,"office-clerks-general","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439022","Word processors & typists",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",650,625.9368109427329,42310.984615384616,17108.344413754003,7,"word-processors-typists","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439021","Data entry keyers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1374,910.0518342973401,19976.66521106259,8259.672188268014,15,"data-entry-keyers","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113071","Transportation, storage, & distribution managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1530,960.3250373571034,65688.8137254902,18489.682811536575,15,"transportation-storage-distribution-managers","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","436014","Secretaries and administrative assistants, except legal, medical, and executive",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",11546,2637.99376592296,31250.886367573185,4054.4634730176367,116,"secretaries-and-administrative-assistants-except-legal-medical-and-executive","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","436011","Executive secretaries and executive administrative assistants",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",2068,1116.4699082818893,56817.205996131524,12431.305957194307,17,"executive-secretaries-and-executive-administrative-assistants","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","435071","Shipping, receiving, & traffic clerks",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",2325,1183.8123335104563,36138.89161290322,12237.05844823813,25,"shipping-receiving-traffic-clerks","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","435061","Production, planning, & expediting clerks",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",4035,1559.5189903779155,28732.461214374227,7869.761632283499,34,"production-planning-expediting-clerks","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113121","Human resources managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",15511,3057.539862624381,55345.604990007094,12215.820601949265,162,"human-resources-managers","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","435032","Dispatchers, except police, fire, and ambulance",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",789,689.6235983666932,25250.384030418252,17995.858846522857,5,"dispatchers-except-police-fire-and-ambulance","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","435021","Couriers & messengers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",928,747.9066571185487,14066.327586206897,5704.645089960034,5,"couriers-messengers","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","434XXX","Correspondence clerks & order clerks",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1044,793.2744956679327,13750.64846743295,10413.979624619455,12,"correspondence-clerks-order-clerks","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","434181","Reservation & transportation ticket agents & travel clerks",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",419,502.5521803718622,22747.05250596659,13132.704449659263,6,"reservation-transportation-ticket-agents-travel-clerks","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113131","Training & development managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",3036,1352.7614938816462,56382.85507246377,13011.571295766826,28,"training-development-managers","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","434171","Receptionists & information clerks",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",9886,2441.016429950856,17282.81145053611,4485.250693499924,87,"receptionists-information-clerks","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","119021","Construction managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",584,593.3081771842047,219342.43835616438,180683.7156207362,7,"construction-managers","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","434081","Hotel, motel, & resort desk clerks",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",2967,1337.301163367693,21041.072463768116,6315.902247719293,29,"hotel-motel-resort-desk-clerks","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","434051","Customer service representatives",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",207639,11179.63008096219,13356.384104142286,849.1546821903353,1681,"customer-service-representatives","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","4330XX","Other financial clerks",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",630,616.2318176869355,123773.11428571428,179093.65986736718,6,"other-financial-clerks","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","433051","Payroll & timekeeping clerks",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1926,1077.457386121849,36192.390965732084,12219.79602022826,21,"payroll-timekeeping-clerks","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","119051","Food service managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",866584,22788.607209941994,44877.438457206685,1237.5203183423719,7249,"food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","433031","Bookkeeping, accounting, & auditing clerks",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",19278,3408.6133843892612,34568.09767610748,3981.956449035116,215,"bookkeeping-accounting-auditing-clerks","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","433021","Billing & posting clerks",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1285,880.0846698446983,25167.773540856033,8022.020820699272,10,"billing-posting-clerks","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","119081","Lodging managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1672,1003.900028880747,72075.24880382775,67654.2686296204,23,"lodging-managers","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","431011","Firstline supervisors of office & administrative support workers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",5344,1794.7345421211921,42973.13379491018,10998.318451305897,50,"firstline-supervisors-of-office-administrative-support-workers","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","419099","Other Sales Workers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1603,982.967573883801,32760.005614472862,21179.308295389343,16,"other-sales-workers","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","419091","Doortodoor sales workers, news & street vendors, & related workers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",3431,1438.0703573337478,24092.309822209267,3970.2195060774275,26,"doortodoor-sales-workers-news-street-vendors-related-workers","Restaurants & Food Services","722Z","restaurants-food-services"
