ID Gender,Gender,ID Year,Year,ID Workforce Status,Workforce Status,Record Count,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,PUMS Occupation,ID PUMS Occupation,Slug PUMS Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry
2,"Female",2017,"2017","true","true",205,33322.34493737171,2863.7103565411608,23871,3792.9312551180033,"Reservation & transportation ticket agents & travel clerks","434181","reservation-transportation-ticket-agents-travel-clerks","Air transportation","481","air-transportation"
1,"Male",2014,"2014","true","true",195,41659.94347054495,6522.758281648368,23103,3731.413012984233,"Reservation & transportation ticket agents & travel clerks","434181","reservation-transportation-ticket-agents-travel-clerks","Air transportation","481","air-transportation"
2,"Female",2018,"2018","true","true",196,42392.293976534216,7921.087628092426,22927,3717.192668067778,"Reservation & transportation ticket agents & travel clerks","434181","reservation-transportation-ticket-agents-travel-clerks","Air transportation","481","air-transportation"
2,"Female",2016,"2016","true","true",188,36852.451919164516,7047.8922124220435,22119,3651.106197143917,"Reservation & transportation ticket agents & travel clerks","434181","reservation-transportation-ticket-agents-travel-clerks","Air transportation","481","air-transportation"
2,"Female",2015,"2015","true","true",187,29592.75470916041,3245.5833623814215,21713,3617.4438128486013,"Reservation & transportation ticket agents & travel clerks","434181","reservation-transportation-ticket-agents-travel-clerks","Air transportation","481","air-transportation"
2,"Female",2014,"2014","true","true",176,30611.448455185073,3382.6583354988825,19614,3438.1719968896928,"Reservation & transportation ticket agents & travel clerks","434181","reservation-transportation-ticket-agents-travel-clerks","Air transportation","481","air-transportation"
1,"Male",2017,"2017","true","true",476,71021.95095147083,3905.239361314325,48136,5385.6606564875765,"Aircraft mechanics & service technicians","493011","aircraft-mechanics-service-technicians","Air transportation","481","air-transportation"
1,"Male",2018,"2018","true","true",428,75742.08864425185,4849.3570082484275,46963,5319.667079380175,"Aircraft mechanics & service technicians","493011","aircraft-mechanics-service-technicians","Air transportation","481","air-transportation"
1,"Male",2016,"2016","true","true",414,68937.15898058252,4077.119871745124,43672,5129.925573103877,"Aircraft mechanics & service technicians","493011","aircraft-mechanics-service-technicians","Air transportation","481","air-transportation"
1,"Male",2015,"2015","true","true",369,62982.16526928388,3444.949547534739,40552,4943.328648919492,"Aircraft mechanics & service technicians","493011","aircraft-mechanics-service-technicians","Air transportation","481","air-transportation"
1,"Male",2014,"2014","true","true",365,66219.27566782219,3550.2450058545405,39232,4862.218616316876,"Aircraft mechanics & service technicians","493011","aircraft-mechanics-service-technicians","Air transportation","481","air-transportation"
2,"Female",2017,"2017","true","true",14,73580.85320512821,8774.630926251275,1560,969.6941254068424,"Aircraft mechanics & service technicians","493011","aircraft-mechanics-service-technicians","Air transportation","481","air-transportation"
2,"Female",2016,"2016","true","true",18,42969.98189415042,18370.78223655951,1436,930.3574376000695,"Aircraft mechanics & service technicians","493011","aircraft-mechanics-service-technicians","Air transportation","481","air-transportation"
2,"Female",2018,"2018","true","true",14,58969.148969889065,16157.356390597193,1262,872.1729299259238,"Aircraft mechanics & service technicians","493011","aircraft-mechanics-service-technicians","Air transportation","481","air-transportation"
2,"Female",2015,"2015","true","true",10,46252.40733590734,12127.000394884648,1036,790.2291894949471,"Aircraft mechanics & service technicians","493011","aircraft-mechanics-service-technicians","Air transportation","481","air-transportation"
2,"Female",2014,"2014","true","true",9,26927.009687836384,15876.357990242912,929,748.309369804459,"Aircraft mechanics & service technicians","493011","aircraft-mechanics-service-technicians","Air transportation","481","air-transportation"
